"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1557362_at",3.84899717494736,4.36215356565363,269.782759033798,0,0,1312.22713110682
"208380_at",4.42110770126314,4.28118447813035,255.953344428838,0,0,1284.68650863847
"221417_x_at",4.14532217494735,4.32021557682682,244.931715978254,0,0,1261.61584537817
"222454_s_at",3.78296428021052,4.37149900327002,224.214779618945,0,0,1215.22296692395
"243415_at",4.06646428021052,4.33137609824209,221.1768720198,0,0,1208.05524231779
"234798_x_at",4.71361559599999,4.23978671276723,213.409009192856,0,0,1189.26434499789
"240794_at",3.68848796442104,4.38486995299069,211.180761518104,0,0,1183.7464215193
"1552338_at",3.97222480652631,4.34471352840968,205.018536972093,0,0,1168.17564929769
"220385_at",3.71649849073684,4.38090570718063,203.383829159441,0,0,1163.96603288024
"205553_s_at",4.37748138547368,4.28735877980633,203.309222789604,0,0,1163.77310046203
"226708_at",4.01120375389472,4.33919695485289,203.212162366365,0,0,1163.52199534682
"230817_at",5.312265596,4.15506157310242,197.889612963508,0,0,1149.56459381879
"231457_at",3.2361550696842,4.44888727142644,194.904232249543,0,0,1141.57048605713
"219835_at",3.83446296442104,4.36421054889385,194.311775172938,0,0,1139.96948293697
"211518_s_at",3.34628533284209,4.43330086546741,194.05686525351,0,0,1139.27913601982
"232361_s_at",4.35578928021052,4.29042879842831,193.385862656125,0,0,1137.45758815476
"235933_at",4.2373353328421,4.3071932304581,193.230210844393,0,0,1137.03414371828
"239374_at",4.36539059599999,4.28906995299069,193.121444370406,0,0,1136.73804676548
"238671_at",4.5593353328421,4.26162153585847,193.117539221619,0,0,1136.72741261203
"220579_at",4.27497743810525,4.30186585615643,189.763444552228,0,0,1127.51368812499
"217181_at",3.63886164863157,4.39189341667784,187.990779668604,0,0,1122.57838556177
"205892_s_at",4.64231033284209,4.24987833287896,187.580062068179,0,0,1121.42828999268
"206899_at",4.01609717494736,4.33850440364246,184.368238714614,0,0,1112.34717287389
"228681_x_at",5.25749322757894,4.16281334218994,183.439294937969,0,0,1109.69135357833
"239981_x_at",3.64436954336841,4.39111390084916,182.711348540801,0,0,1107.60083183931
"1569579_at",3.10705375389472,4.46715859358659,182.306802721356,0,0,1106.43547855411
"208494_at",3.17091296442104,4.45812079097952,182.161723111368,0,0,1106.01693048611
"214302_x_at",3.24186559599999,4.44807907775791,180.595119523545,0,0,1101.47617611707
"221254_s_at",4.36127743810524,4.28965207589572,180.401027055137,0,0,1100.91088849297
"230037_at",4.05520112231578,4.33297013921043,179.849257395661,0,0,1099.30058089887
"232409_x_at",4.27554717494737,4.30178522300931,178.771225348569,0,0,1096.1402397459
"234002_at",3.88667349073683,4.35682134963873,178.133761075477,0,0,1094.26257177316
"234708_at",3.82461164863157,4.36560477608194,177.918094744338,0,0,1093.62581529935
"240475_at",3.61258796442105,4.39561185243203,177.419624216822,0,0,1092.15115056296
"207140_at",3.61713928021052,4.39496771835382,176.903821330132,0,0,1090.62089014523
"244002_at",2.79691164863157,4.51105207589572,176.75004018351,0,0,1090.16380549925
"234880_x_at",3.20324980652631,4.45354425466667,175.826340666166,0,0,1087.40998880259
"1568375_at",4.10315375389472,4.32618354703166,175.815918163749,0,0,1087.37883479851
"237731_at",3.2493498065263,4.44701985988082,175.679214571909,0,0,1086.97004375634
"207702_s_at",4.29691428021051,4.29876120066294,175.256513272891,0,0,1085.70402970987
"1559478_at",3.12303006968421,4.4648975135121,175.186977407923,0,0,1085.49547707097
"233743_x_at",3.74238401705263,4.37724220624953,174.940150097479,0,0,1084.75452954301
"217265_at",4.58218270126315,4.2583880163054,173.387472295761,0,0,1080.06976894504
"236891_at",4.10292349073683,4.32621613548603,172.217673283653,0,0,1076.51281838688
"220638_s_at",3.73655638547368,4.37806697347486,172.034465646905,0,0,1075.95359148562
"205914_s_at",4.21895243810525,4.30979490643575,171.668901679141,0,0,1074.83598014964
"208108_s_at",3.02364980652631,4.47896250420112,171.606067528571,0,0,1074.64364585354
"1554714_at",3.6055353328421,4.39660999023464,171.580108759379,0,0,1074.56416623525
"217108_at",3.90808664863157,4.35379080960149,171.3511937888,0,0,1073.86276938039
"232854_at",4.21595901705262,4.31021855634264,170.598282431349,0,0,1071.54931698313
"208504_x_at",3.60772349073683,4.39630030680819,170.508382903182,0,0,1071.27241323308
"223786_at",3.79047743810525,4.37043568855866,170.374675488576,0,0,1070.86030877864
"207261_at",4.46037085915789,4.27562768110987,170.286818734923,0,0,1070.5893489317
"204456_s_at",3.78479184520572,4.37186265531285,169.61269221176,0,0,1068.50567890737
"210165_at",3.78751164863157,4.37085542785102,169.561165685017,0,0,1068.34607951505
"236008_at",3.32326822757893,4.43655840736685,169.416966428522,0,0,1067.89917982205
"236967_at",4.2309050696842,4.30810328632402,168.459258857913,0,0,1064.92154142428
"208435_s_at",3.50377085915789,4.41101241109125,168.426981676311,0,0,1064.82089770562
"231209_at",3.53942875389473,4.40596585615642,167.861584480779,0,0,1063.05484689798
"1564931_at",3.83542743810525,4.36407404982495,167.785562038632,0,0,1062.81694061848
"226096_at",3.43284562729649,4.42369738307263,167.597794264894,0,0,1062.22888186189
"1564460_at",3.6960050696842,4.38380607962011,167.399665321563,0,0,1061.60767124005
"214346_at",5.05268533284209,4.19179918948976,167.25851779021,0,0,1061.1646785541
"1570546_a_at",4.12792085915788,4.32267833287896,167.201410774853,0,0,1060.98534335947
"221721_s_at",4.33164980652631,4.29384518576536,167.159088038089,0,0,1060.85239693828
"205902_at",3.67973928021052,4.38610812803724,166.636472479509,0,0,1059.20799909813
"232888_at",4.01997085915788,4.33795617272998,166.355008953055,0,0,1058.32028116251
"208160_at",3.042315596,4.47632079097952,165.970350557663,0,0,1057.1047057678
"237430_at",3.50155375389473,4.41132619135196,165.134685030479,0,0,1054.45432794799
"237307_at",3.20038796442105,4.45394928259963,165.044082694112,0,0,1054.16618539285
"1558216_at",3.87628006968419,4.3582922993594,164.268712339942,0,0,1051.69391230267
"228629_s_at",3.72102349073683,4.38026529749721,164.104760260929,0,0,1051.1696849496
"219791_s_at",4.22504322757894,4.30893289526257,164.032435043981,0,0,1050.93826602333
"1555804_a_at",3.97492085915789,4.34433196416387,163.907939288901,0,0,1050.53968274683
"215689_s_at",2.74048270126315,4.51903829563501,163.241733633928,0,0,1048.40171710695
"220531_at",3.73527743810526,4.37824797906145,163.182324539369,0,0,1048.21064842512
"1556749_at",4.11400638547368,4.32464760662197,163.133068764501,0,0,1048.05218269233
"206844_at",3.73858401705262,4.37778000885661,162.508793581247,0,0,1046.03969340613
"221066_at",3.63024454336841,4.39311296975047,162.00499724502,0,0,1044.41006781628
"234139_s_at",5.01406296442105,4.19726529749721,161.633573907952,0,0,1043.20544867976
"231803_at",3.01344849073684,4.48040626583985,161.585905463417,0,0,1043.0506518708
"216074_x_at",4.02427349073684,4.3373472341825,161.287652597646,0,0,1042.0811007342
"242925_at",3.91718401705263,4.35250328632402,160.66943594641,0,0,1040.06582441755
"216281_at",3.48754454336841,4.4133088729162,160.565916542306,0,0,1039.72762862261
"231462_at",3.89824849073683,4.35518317459218,159.698445273674,0,0,1036.8852128732
"1559483_at",5.00370112231578,4.19873177794413,159.563426343881,0,0,1036.44144421665
"215362_at",3.32474891551718,4.43721769587523,158.897738349993,0,0,1034.24814190992
"231607_at",3.42077743810525,4.42275822114711,158.516833760463,0,0,1032.98910189892
"237091_at",4.04659191178947,4.33418857496462,158.171275661872,0,0,1031.84433858924
"244830_at",4.88800243810526,4.21510626583985,157.572776339148,0,0,1029.85584678659
"208556_at",3.08474322757894,4.47031613548603,157.394648239625,0,0,1029.26259991469
"238930_at",3.57139717494736,4.40144146137058,156.914548097336,0,0,1027.66038361985
"1553545_at",3.55909849073684,4.40318205727374,156.323318108949,0,0,1025.68071954304
"214503_x_at",4.55844921377965,4.26351608972812,155.44565889414,0,0,1022.72848662699
"244782_at",4.57965770126315,4.2587453719851,155.405923016732,0,0,1022.59444091295
"229834_at",3.82930375389473,4.36494071649162,154.923909691351,0,0,1020.96574570905
"216900_s_at",4.25858928021051,4.30418522300931,154.380925909646,0,0,1019.12511674221
"222008_at",3.18729191178947,4.4558027276648,153.924681883043,0,0,1017.57364540135
"228911_at",3.44684191178946,4.41906939433147,153.558355580621,0,0,1016.32470118022
"211788_s_at",3.96653664863157,4.34551855634264,153.556175720736,0,0,1016.31726054965
"1560498_at",3.34391164863157,4.43363680587709,153.29398967425,0,0,1015.4215772933
"228265_at",4.09176428021052,4.32779546509497,153.081193610263,0,0,1014.6935252166
"210049_at",3.88750770126316,4.35670328632402,153.011643681717,0,0,1014.45535652501
"215961_at",3.87870901705262,4.35794853772067,152.564423373721,0,0,1012.92136521921
"235544_x_at",3.1496103328421,4.46113568855866,152.560656368115,0,0,1012.90842562724
"208606_s_at",4.02545770126314,4.33717963641713,152.352687614015,0,0,1012.19357494233
"215790_at",4.07171164863156,4.33063345392179,152.338414877709,0,0,1012.14448053469
"233395_at",3.58307085915789,4.39978931984358,152.314795682779,0,0,1012.06322698606
"239220_at",3.12270506968421,4.46494350978771,152.21886205091,0,0,1011.7330751535
"1569337_at",3.24737480652631,4.4472993757095,151.1709319703,0,0,1008.113449437
"227764_at",3.70035770126315,4.38319006472253,151.013684016341,0,0,1007.56820331896
"1563407_x_at",2.87066033284209,4.50061464572812,150.888017555263,0,0,1007.13206761229
"205477_s_at",3.81505375389473,4.36695747626816,150.58835708574,0,0,1006.09064788503
"230797_s_at",3.52813401705262,4.40756436639851,150.410058984362,0,0,1005.47004850777
"231574_at",3.87034849073684,4.35913177794413,150.405858784019,0,0,1005.45542033709
"236601_at",3.73601428021052,4.37814369600745,150.221762074825,0,0,1004.81387140515
"1555197_a_at",4.06182349073683,4.33203289526257,149.907346607811,0,0,1003.71641673298
"201495_x_at",3.24494322757894,4.44764350978771,149.750711999275,0,0,1003.16885690547
"238377_s_at",2.85103928021052,4.50339155448045,149.693926181671,0,0,1002.97020917551
"201958_s_at",3.66377217494736,4.38836790457356,149.611531539859,0,0,1002.6818469439
"243731_at",3.07211954336842,4.4721027276648,149.080336648859,0,0,1000.81908519282
"1556288_at",4.59895770126315,4.25601390084916,148.92969374191,0,0,1000.28964948966
"229875_at",3.00094717494736,4.48217553958287,148.6403558613,0,0,999.271312832668
"242372_s_at",4.24980638547367,4.30542823976909,148.435025821569,0,0,998.547480185741
"211607_x_at",2.95109849073684,4.48923047440596,148.291438871075,0,0,998.040729047423
"241350_at",5.07874980652631,4.18811036267412,148.243380570248,0,0,997.871014231235
"230468_s_at",3.53236559599999,4.40696548371695,148.069105760651,0,0,997.255126856546
"1553482_at",4.34987875389473,4.29126529749721,148.044856689702,0,0,997.169375015792
"1557892_at",3.00234191178946,4.48197814665922,147.877071894426,0,0,996.575666000514
"210683_at",5.52315901705262,4.12521445950838,146.885818489489,0,0,993.05474687957
"236324_at",4.18013796442104,4.31528820252514,146.788866391735,0,0,992.709141574069
"206969_at",3.59440112231578,4.39818578166853,146.773953416131,0,0,992.655961683313
"1569979_at",3.97936428021052,4.34370310010428,146.75188096919,0,0,992.577241424602
"220423_at",2.59068664863157,4.54023848185475,146.610519192219,0,0,992.072810303544
"227128_s_at",3.25324191178946,4.44646902189199,146.312611335692,0,0,991.00822384494
"214304_x_at",4.65209191178947,4.24849397533706,146.232641469254,0,0,990.722091484787
"205982_x_at",2.92038796442104,4.49357684312104,146.217289808644,0,0,990.66714591105
"1560325_at",4.70948796442105,4.24037088408939,146.213989018718,0,0,990.655331230008
"1562559_at",3.512915596,4.40971818390317,146.146012481446,0,0,990.411962121407
"242071_x_at",3.40294717494736,4.42528168483426,146.129858165265,0,0,990.354110471383
"216270_at",3.44226691178947,4.41971688036499,146.017828577788,0,0,989.952741325451
"238928_at",3.85566822757894,4.36120943157542,146.011425059193,0,0,989.92979040949
