NCTId,BriefTitle,OfficialTitle,OverallStatus,Phase,StudyType,EnrollmentCount,Conditions,InterventionNames,InterventionTypes,StartDate,PrimaryCompletionDate,CompletionDate,Countries,LeadSponsor,PrimaryOutcome,BriefSummary,MatchedTargets
NCT05945849,CD33KO-HSPC Infusion Followed by CART-33 Infusion(s) for Refractory/Relapsed AML,Phase 1 Study of Lentivirally Transduced T Cells Engineered to Contain Anti-CD33 Linked to TCRζ And 4-1BB Signaling Domains In Combination With CD33KO-HSPC In Subjects With Refractory Or Relapsed Acute Myeloid Leukemia,RECRUITING,PHASE1,INTERVENTIONAL,16,"Leukemia, Myeloid, Acute",CD33KO-HSPC; CART33,BIOLOGICAL,2024-02-23,2029-02-23,2044-02-23,United States,University of Pennsylvania,Manufacturing feasibility; Occurrence of dose-limiting toxicities related to CD33KO-HSPC; Occurrence of dose-limiting toxicities related to CART-33,"The purpose of this study is to provide a new type of treatment for AML. This treatment combines a new type of stem cell transplant along with treatment using chimeric antigen receptor (CAR) T cells that have been engineered to recognize and attack your AML cells.

The first treatment is a modified stem cell transplant, using blood-forming stem cells donated from a healthy donor. From the same donor, we will also make CAR T-cells, which are leukemia fighting cells, which will be given to the patient via an infusion into the vein after the transplanted stem cells have started to grow healthy bl",CD33
NCT05467254,Evaluate the Safety and Efficacy of CLL1+CD33 CAR-T in Patients With R/R AML,To Evaluate the Safety and Efficacy of CLL1+CD33 CAR-T in Patients With Relapsed and Refractory Acute Myeloid Leukemia,UNKNOWN,PHASE1,INTERVENTIONAL,20,AML,CLL1+CD33 CAR-T,BIOLOGICAL,2022-08-02,2024-08-02,2025-08-02,China,Zhejiang University,Changes in cytokine level after CLL1+CD33 CAR-T infusion; The change characteristics of chimeric antigen receptor(CAR)-T cell number and copy number in patients after infusion.,"This is an open label, phase I study to assess the safety and efficacy of CLL1+CD33 CAR-T in patients with relapsed and refractory acute myeloid leukemia",CD33; CLL-1
NCT03222674,Multi-CAR T Cell Therapy for Acute Myeloid Leukemia,Multi-center Phase I/II Clinical Trial of Multi-CAR T Cell Therapy for Acute Myeloid Leukemia,RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,10,Acute Myeloid Leukemia,Muc1/CLL1/CD33/CD38/CD56/CD123-specific gene-engineered T cells,BIOLOGICAL,2025-07-15,2028-06-30,2028-12-31,China,Shenzhen Geno-Immune Medical Institute,percentage of patients with treatment related adverse effect,"The purpose of this clinical trial is to assess the feasibility, safety and efficacy of multi-CAR T cell therapy targeting different AML surface antigens in patients with relapsed or refractory acute myeloid leukemia (AML). Another goal of the study is to learn more about the function of the multi-CAR T cells and their persistency in the patients.",CD33; CD123; CLL-1; CD38
NCT05248685,Optimized Dual CD33/CLL1 CAR T Cells in Subjects With Refractory or Relapsed Acute Myeloid Leukemia,"Single-center, Open-Label, Non-randomized, Single-Arm Phase 1 Study to Evaluate the Safety and Tolerability of Optimized Dual CD33/CLL1 CAR T Cells in Subjects With Refractory or Relapsed Acute Myeloid Leukemia",WITHDRAWN,PHASE1,INTERVENTIONAL,0,Acute Myeloid Leukemia,Dual CD33/CLL1 CAR T,BIOLOGICAL,2022-02-16,2023-12-31,2023-12-31,China,Beijing Boren Hospital,Dose limiting toxicity (DLT); Incidence and severity of adverse events (AE),"This is a single-center, open-label, non-randomized, single-arm Phase 1 Study to evaluate safety and tolerability of optimized Dual CD33/CLL1 CAR T Cells in subjects with refractory or relapsed acute myeloid leukemia. Maximum of twenty subjects will be enrolled. After the collection of PBMC and about 5 days before infusion, lymphodepletion chemotherapy (fludarabine at 30 mg/m\^2/day and cyclophosphamide at 250 mg/m\^2/day) will be administrated for 3 days.

Then this study will be using BOIN1/2 approach from starting dose 1: 1×10\^6 (±20%) to dose 2: 5×10\^6 (±20%). If the manufactured cells w",CD33; CLL-1
NCT03885076,Gamma Delta T Cells in AML,Assessing Feasibility of Expansion and Characterization of Gamma Delta T Cells From Peripheral Blood and Bone Marrow of Patients With Acute Myeloid Leukaemia as Starting Product for Generation of CD33-CD28 Gamma Delta T Cells,UNKNOWN,N/A,OBSERVATIONAL,20,Acute Myeloid Leukemia,Blood collection and bone marrow aspirate,PROCEDURE,2018-08-23,2020-03,2021-03,United Kingdom,Royal Marsden NHS Foundation Trust,Percentage viable gamma delta T cells,"The Royal Marsden NHS Foundation Trust is committed to improving patient experience; this research is being undertaken to try to develop a novel treatment for patients with Acute Myeloid Leukaemia (AML). Researchers aim to develop a new therapy which uses a patient's own immune cells called T cells to treat AML. In this study, numbers and properties of T cells which can be collected from the blood of patients with AML at various points throughout their treatment will be investigated. Blood samples will be collected at the same time as the patient's bone marrow test.

If patients need further b",CD33
NCT06326021,Optimised CD33 (FL-33) CAR T Therapy for Refractory/Relapsed Acute Myeloid Leukaemia,"Optimised CD33 (FL-33) CAR T Therapy for Refractory/Relapsed Acute Myeloid Leukaemia：a Multi-center, Open-label, Non-randomised, Single-arm Phase Ⅰ Clinical Trial",RECRUITING,PHASE1,INTERVENTIONAL,27,Refractory/Relapsed Acute Myeloid Leukaemia,autologous FL-33 CAR T therapy; prior-HSCT donor-derived FL-33 CAR T therapy; Newly matched donor-derived FL-33 CAR T therapy; FL33-03 CAR-T therapy,DRUG; DRUG; DRUG; DRUG,2024-04-02,2026-06-15,2026-12-30,China,Beijing GoBroad Hospital,Dose-limiting toxicity(DLT); Adverse events (AEs),"This study is a multi-center, open-label, non-randomised, single-arm phaseⅠclinical trial to explore the safety and efficacy of FL-33 CAR T therapy for refractory/relapsed acute myeloid leukaemia. The primary endpoints are incidence and type of dose limiting toxicity within 21 days of CAR T infusion; total number, incidence and severity of adverse events (AE) 30 days after CAR T infusion. The secondary endpoints are total number, incidence and severity of AEs 30 days to 2 years after CAR T infusion; objective response rate (ORR), complete response rate (CR) and complete response with incomplet",CD33
NCT03473457,CAR-T Cells Therapy in Relapsed/Refractory Acute Myeloid Leukemia,"The Prospective, Multi-center And Single-arm Clinical Study of Chimeric Antigen Receptor T(CAR-T) Cells Therapy in Relapsed/Refractory Acute Myeloid Leukemia",TERMINATED,NA,INTERVENTIONAL,2,Relapsed/Refractory Acute Myeloid Leukemia(AML),CART therapy in Acute myeloid leukemia(AML),BIOLOGICAL,2018-04-01,2020-12-31,2020-12-31,China,Zhujiang Hospital,Adverse events that Are related to treatment,"Acute myeloid leukemia (AML) is a group of genetically highly heterogeneous malignant disease . The disease is the most common type of adult acute leukemia. Overall survival (OS) was less than 50% in 5 years. Chimeric Antigen Receptor-transduced T cell (CAR-T) therapy is one of revolutionary targeted immunotherapy. The efficacy of CAR-T cells for the treatment of acute B lymphocytic leukemia has been widely recognized, although it start late, several clinical trials have been register in ClinicalTrials.gov.",CD33; CD123; CD38
NCT04835519,Phase I/II Study of Enhanced CD33 CAR T Cells in Subjects With Relapsed or Refractory Acute Myeloid Leukemia,"Open-Label, Nonramdominzed, Single-Arm Phase I/II Study to Evaluate the Safety and Tolerability of Functionally Enhanced CD33 CAR T Cells in Subjects With Relapsed or Refractory Acute Myeloid Leukemia",COMPLETED,"PHASE1, PHASE2",INTERVENTIONAL,5,Acute Myeloid Leukemia; Relapse Leukemia; Refractory Acute Myeloid Leukemia,chimeric antigen receptor T cell,BIOLOGICAL,2021-04-08,2023-05-19,2023-05-19,China,Beijing Boren Hospital,Incidence and type of dose-limiting toxicity (DLT); Incidence and severity of adverse events (AE),"This is a open-label, nonramdominzed, single-arm, Phase I/II Study to evaluate safety and tolerability of functionally enhanced CD33 CAR-T cells in subjects with relapsed or refractory acute myeloid leukemia. 25 subjects will be enrolled. Subjects will be pretreated with chemotherapy prior to infusion of CAR T cells: about 5 days before cells transfusion, the patients who planned to reinfuse CAR T cells were treated with fluorodarabine 30 mg/m\^2( body surface area) and cyclophosphamide 250 mg/m\^2( body surface area) for 3 days. Then the Bayesian optimal interval phase I/II (Boin12) trial des",CD33
NCT04010877,Multiple CAR-T Cell Therapy Targeting AML,Multi-center Phase I/II Clinical Trial of Multiple CAR T Cells for Treating Acute Myeloid Leukemia,RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,10,Acute Myeloid Leukemia,"CLL-1, CD33 and/or CD123-specific CAR gene-engineered T cells",BIOLOGICAL,2025-08-01,2028-07-31,2029-12-31,China,Shenzhen Geno-Immune Medical Institute,Safety of infusion,"The purpose of this clinical trial is to assess the feasibility, safety and efficacy of multiple CAR T-cell therapy which combines CAR T cells against CLL-1 with CAR T cells targeting CD123 or CD33 in patients with relapsed and refractory AML. The study also aims to learn more about the function of CAR T cells and their persistency in AML patients.",CD33; CD123; CLL-1
NCT05665075,Natural Killer (NK) Cell Therapy Targeting CD33 in Acute Myeloid Leukemia,Clinical Study on the Safety and Efficacy of QN-023a Targeting CD33 in Acute Myeloid Leukemia,UNKNOWN,PHASE1,INTERVENTIONAL,19,"AML, Adult",QN-023a; Cyclophosphamid; Fludarabine; Cytarabine; VP-16,DRUG; DRUG; DRUG; DRUG; DRUG,2022-12-24,2023-12-24,2025-12-24,China,Zhejiang University,Incidence and severity of Treatment-Emergent Adverse Events[Safety and Tolerability]; Incidence of dose adjustment or discontinuation due to NK cell toxicities; Incidence of subjects with Dose Limiting Toxicities within each dose level cohort; Determine the maximum tolerated dose (MTD) and RP2D,"This is an open-label, Phase I study of QN-023a (allogeneic CAR-NK cells targeting CD33) in relapsed/refractory Acute Myeloid Leukemia (AML).

The clinical study is to evaluate the safety, tolerability and preliminary efficacy of QN-023a in patients with relapsed/refractory AML,where a ""3+3"" enrollment schema will be utilized at dose escalation stage. Up to 19 patients will be enrolled.",CD33
NCT05943314,Clinical Study on Safety and Efficacy of Anti-CLL1 /+CD33 CAR T Cells in the Treatment of Acute Myeloid Leukemia,"Safety and Efficacy of Anti-CLL1 /+CD33 CAR T Cells in Refractory/Recurrent Acute Myeloid Leukemia: a Single-arm, Non-blind Clinical Study",WITHDRAWN,NA,INTERVENTIONAL,0,Acute Myeloid Leukemia,CLL1/+CD33 CAR-T,BIOLOGICAL,2023-07-12,2023-08-28,2023-08-28,China,"Guangzhou Bio-gene Technology Co., Ltd",Changes in cytokine level after CLL1/+CD33 CAR-T infusion; The change characteristics of chimeric antigen receptor(CAR)-T cell number in patients after infusion.; The change characteristics of chimeric antigen receptor(CAR)-T cell copy number in patients after infusion.,"This is a single-center, single-arm, open, intravenous drug administration of the safety and efficacy of clinical study.",CD33; CLL-1
