# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			9315468	9315468	9315468			
N_multimapping			5118552	5118552	5118552			
N_noFeature			19690683	36246397	35933868			
N_ambiguous			3102805	751040	761731			
ENSG00000000003.15	TSPAN6	protein_coding	3	2	1	0.0773	0.0222	0.0196
ENSG00000000005.6	TNMD	protein_coding	1	1	0	0.0792	0.0228	0.0201
ENSG00000000419.13	DPM1	protein_coding	549	300	250	53.1744	15.2895	13.4892
ENSG00000000457.14	SCYL3	protein_coding	890	654	664	15.1165	4.3465	3.8347
ENSG00000000460.17	C1orf112	protein_coding	1062	742	772	20.7964	5.9797	5.2756
ENSG00000000938.13	FGR	protein_coding	8239	4126	4113	284.7991	81.8896	72.2472
ENSG00000000971.16	CFH	protein_coding	32	17	15	0.4688	0.1348	0.1189
ENSG00000001036.14	FUCA2	protein_coding	971	783	773	40.2254	11.5662	10.2043
ENSG00000001084.13	GCLC	protein_coding	1250	773	777	16.9567	4.8756	4.3015
ENSG00000001167.14	NFYA	protein_coding	2095	1202	1173	64.2662	18.4788	16.3029
ENSG00000001460.18	STPG1	protein_coding	218	129	163	2.9944	0.8610	0.7596
ENSG00000001461.17	NIPAL3	protein_coding	2126	1160	1040	26.4520	7.6059	6.7103
ENSG00000001497.18	LAS1L	protein_coding	2723	1347	1388	25.3553	7.2905	6.4321
ENSG00000001561.7	ENPP4	protein_coding	240	130	110	6.0417	1.7372	1.5326
ENSG00000001617.12	SEMA3F	protein_coding	9	5	5	0.2180	0.0627	0.0553
ENSG00000001626.16	CFTR	protein_coding	1	1	0	0.0118	0.0034	0.0030
ENSG00000001629.10	ANKIB1	protein_coding	2556	1301	1270	40.4402	11.6280	10.2588
ENSG00000001630.17	CYP51A1	protein_coding	73	46	29	2.4183	0.6953	0.6135
ENSG00000001631.16	KRIT1	protein_coding	332	179	167	6.2561	1.7988	1.5870
ENSG00000002016.18	RAD52	protein_coding	1580	799	781	41.0197	11.7946	10.4058
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	24	13	17	0.4449	0.1279	0.1129
ENSG00000002330.14	BAD	protein_coding	146	180	212	9.9932	2.8734	2.5350
ENSG00000002549.12	LAP3	protein_coding	2649	1345	1304	81.8189	23.5258	20.7557
ENSG00000002586.20	CD99	protein_coding	13170	6455	6717	316.9319	91.1289	80.3986
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	218	110	108	3.4278	0.9856	0.8696
ENSG00000002726.21	AOC1	protein_coding	100	48	52	3.0879	0.8879	0.7833
ENSG00000002745.13	WNT16	protein_coding	13	4	9	0.4656	0.1339	0.1181
ENSG00000002746.15	HECW1	protein_coding	4	3	1	0.0336	0.0096	0.0085
ENSG00000002822.15	MAD1L1	protein_coding	120	61	59	1.9404	0.5579	0.4922
ENSG00000002834.18	LASP1	protein_coding	7922	4741	4710	131.1615	37.7135	33.2728
ENSG00000002919.15	SNX11	protein_coding	1165	584	582	32.9532	9.4752	8.3595
ENSG00000002933.9	TMEM176A	protein_coding	337	151	192	11.3309	3.2580	2.8744
ENSG00000003056.8	M6PR	protein_coding	4811	2932	2694	156.8859	45.1101	39.7985
ENSG00000003096.14	KLHL13	protein_coding	613	313	300	10.2626	2.9508	2.6034
ENSG00000003137.8	CYP26B1	protein_coding	1	0	1	0.0233	0.0067	0.0059
ENSG00000003147.19	ICA1	protein_coding	149	79	83	3.5673	1.0257	0.9049
ENSG00000003249.15	DBNDD1	protein_coding	14	8	7	0.3668	0.1055	0.0931
ENSG00000003393.15	ALS2	protein_coding	2023	1014	1009	22.6577	6.5149	5.7478
ENSG00000003400.15	CASP10	protein_coding	3168	1580	1589	48.8536	14.0471	12.3931
ENSG00000003402.20	CFLAR	protein_coding	8573	5050	4995	44.5855	12.8199	11.3104
ENSG00000003436.16	TFPI	protein_coding	1653	858	874	16.4970	4.7435	4.1849
ENSG00000003509.16	NDUFAF7	protein_coding	616	422	459	19.7245	5.6715	5.0037
ENSG00000003756.17	RBM5	protein_coding	9377	5922	5958	105.8443	30.4339	26.8504
ENSG00000003987.14	MTMR7	protein_coding	186	202	207	3.1386	0.9025	0.7962
ENSG00000003989.18	SLC7A2	protein_coding	24	16	8	0.3549	0.1021	0.0900
ENSG00000004059.11	ARF5	protein_coding	1470	779	801	94.1656	27.0759	23.8877
ENSG00000004139.14	SARM1	protein_coding	128	262	281	1.3475	0.3875	0.3418
ENSG00000004142.12	POLDIP2	protein_coding	1992	1013	1078	87.2199	25.0788	22.1258
ENSG00000004399.13	PLXND1	protein_coding	16990	8299	8694	207.8306	59.7585	52.7220
ENSG00000004455.17	AK2	protein_coding	5035	2527	2532	61.1556	17.5844	15.5138
ENSG00000004468.13	CD38	protein_coding	7347	3650	3697	125.2603	36.0167	31.7758
ENSG00000004478.8	FKBP4	protein_coding	2563	1690	1582	58.0342	16.6869	14.7220
ENSG00000004487.17	KDM1A	protein_coding	3621	1774	1849	77.8157	22.3747	19.7401
ENSG00000004534.15	RBM6	protein_coding	5583	2875	2708	89.4215	25.7118	22.6843
ENSG00000004660.15	CAMKK1	protein_coding	503	276	227	7.9112	2.2747	2.0069
ENSG00000004700.16	RECQL	protein_coding	1264	1002	925	39.1028	11.2434	9.9195
ENSG00000004766.17	VPS50	protein_coding	845	428	417	10.3343	2.9715	2.6216
ENSG00000004776.13	HSPB6	protein_coding	3	2	4	0.2034	0.0585	0.0516
ENSG00000004777.18	ARHGAP33	protein_coding	1612	894	958	35.8275	10.3017	9.0887
ENSG00000004779.10	NDUFAB1	protein_coding	612	309	303	46.2187	13.2895	11.7247
ENSG00000004799.8	PDK4	protein_coding	803	415	388	20.6593	5.9403	5.2408
ENSG00000004809.14	SLC22A16	protein_coding	1065	548	520	31.8672	9.1629	8.0840
ENSG00000004838.14	ZMYND10	protein_coding	104	55	63	4.2085	1.2101	1.0676
ENSG00000004846.16	ABCB5	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004848.8	ARX	protein_coding	1	1	0	0.0375	0.0108	0.0095
ENSG00000004864.14	SLC25A13	protein_coding	813	402	411	25.6185	7.3662	6.4989
ENSG00000004866.22	ST7	protein_coding	404	207	270	7.2372	2.0810	1.8359
ENSG00000004897.12	CDC27	protein_coding	1736	946	967	29.7405	8.5514	7.5445
ENSG00000004939.15	SLC4A1	protein_coding	15	7	8	0.3422	0.0984	0.0868
ENSG00000004948.16	CALCR	protein_coding	1	0	1	0.0277	0.0080	0.0070
ENSG00000004961.15	HCCS	protein_coding	470	231	239	23.4511	6.7430	5.9490
ENSG00000004975.12	DVL2	protein_coding	1362	698	667	29.9241	8.6042	7.5911
ENSG00000005001.10	PRSS22	protein_coding	0	1	0	0.0000	0.0000	0.0000
ENSG00000005007.13	UPF1	protein_coding	3998	2079	1921	54.5190	15.6761	13.8303
ENSG00000005020.13	SKAP2	protein_coding	2673	1380	1293	58.2896	16.7603	14.7868
ENSG00000005022.6	SLC25A5	protein_coding	5560	3380	3164	418.0056	120.1911	106.0388
